control_id,label,our_address,district,destination_lat,destination_lon,checked_date,manual_batch_id,yandex_destination_label,yandex_units_displayed,yandex_fastest_distance_mi,yandex_fastest_distance_km,yandex_fastest_duration_min,yandex_shortest_distance_mi,yandex_shortest_distance_km,yandex_shortest_duration_min,yandex_variant_count,yandex_main_streets,yandex_destination_street,yandex_destination_house,manual_entry_street,manual_entry_previous_street,manual_entry_next_street,manual_entry_landmark,manual_entry_evidence,manual_entry_method,manual_entry_confidence,yandex_district_entry_evidence,yandex_district_entry_confidence,yandex_district_entry,yandex_bridge_or_rail,yandex_uturn,matches_owner_corridor,current_osrm_km,yandex_minus_osrm_km,divergence_pct,calibration_status,notes,owner_review_required,matched_control_distance_m
MY-055,Северный: контроль 1,Strada Dimitrie Cantemir 11,Северный,46.88045,29.47674,2026-07-26,,микрорайон Северный,мили (yandex.com),4.8,7.7249,14,4.8,7.7249,16,4,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; улица Панина; улица Тигина; улица Дмитрия Кантемира,микрорайон Северный,,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,7.641,0.084,1.1,ENGINE_MATCHES_MANUAL_CONTROL,Северный ДОСТИЖИМ; улицы соответствуют нашим Strada Tighina / Strada Dimitrie Cantemir,True,0.0
MY-056,Северный: Strada Tighina 31/2,Strada Tighina 31/2,Северный,46.8774,29.4757,2026-07-26,,село Варница,мили (yandex.com),4.5,7.242,12,4.6,7.403,15,4,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; улица Панина; улица Тигина,село Варница,,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,7.198,0.044,0.6,ENGINE_MATCHES_MANUAL_CONTROL,"КРИТИЧНО: Яндекс относит точку к селу ВАРНИЦА, а не к Северному. У нас Варница = no_delivery",True,0.0
MY-061,Северный: Strada Tighina 31/7,Strada Tighina 31/7,Северный,46.87594,29.47546,2026-07-26,,село Варница,мили (yandex.com),4.4,7.0811,12,4.4,7.0811,14,4,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; улица Панина; улица Тигина,село Варница,,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,6.925,0.156,2.2,ENGINE_MATCHES_MANUAL_CONTROL,"КРИТИЧНО: Яндекс относит точку к селу ВАРНИЦА, а не к Северному",True,0.0
MY-011,Гиска: дальняя западная часть (Ленина 329),улица Ленина 329,Гиска,46.78922,29.40238,2026-07-26,,улица Ленина,мили (yandex.com),5.9,9.4951,15,6.4,10.2998,17,3,улица Сергея Лазо; Коммунистическая улица; улица Ленина,улица Ленина,,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,да,не определено,9.371,0.124,1.3,ENGINE_MATCHES_MANUAL_CONTROL,прямой западный коридор по Ленина; без разворота,True,0.0
MY-001,Борисовка: Варницкий тупик 1,Варницкий тупик 1,Борисовка,46.84126,29.4639,2026-07-26,,Варницкий тупик,мили (yandex.com),2.89,4.651,8,2.84,4.5705,9,3,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; улица Панина; Р2; улица Ермакова; улица Титова; Кишинёвский тупик; Варницкий тупик,Варницкий тупик,,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,Р2 путепровод,да,да,4.5645,0.0865,1.9,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 3,True,0.0
MY-004,Борисовка: улица Петровского 17,улица Петровского 17,Борисовка,46.84066,29.47281,2026-07-26,,"улица Петровского, 17",мили (yandex.com),2.25,3.621,6,2.25,3.621,6,2,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; улица Панина; Р2; улица Петровского,улица Петровского,17,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,Р2 путепровод,да,да,3.5015,0.1195,3.3,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 2,True,0.0
MY-005,Гиска: Студенческая улица 8,Студенческая улица 8,Гиска,46.79873,29.45711,2026-07-26,,"Студенческая улица, 8",мили (yandex.com),2.53,4.0716,7,2.46,3.959,7,3,улица Сергея Лазо; улица Суворова; Первомайская улица; Коммунистическая улица; Студенческая улица,Студенческая улица,8,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,4.6932,-0.6216,15.3,ENGINE_DISAGREES_WITH_MANUAL_CONTROL,вариантов: 3,True,0.0
MY-006,Гиска: улица Бориса Главана 22а,улица Бориса Главана 22а,Гиска,46.78254,29.44565,2026-07-26,,Госпитальная улица,мили (yandex.com),3.7,5.9546,10,3.7,5.9546,10,3,улица Сергея Лазо; улица Суворова; Первомайская улица; Коммунистическая улица; Госпитальная улица,Госпитальная улица,,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,5.8633,0.0913,1.5,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 3,True,0.0
MY-007,Гиска: улица Бориса Главана 27,улица Бориса Главана 27,Гиска,46.78277,29.44638,2026-07-26,,село Гиска,мили (yandex.com),3.7,5.9546,10,3.7,5.9546,10,4,улица Сергея Лазо; улица Суворова; Первомайская улица; Коммунистическая улица; Госпитальная улица,село Гиска,,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,5.86,0.0946,1.6,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 4,True,0.0
MY-008,Гиска: улица Ленина 102,улица Ленина 102,Гиска,46.78265,29.44423,2026-07-26,,улица Ленина,мили (yandex.com),3.7,5.9546,9,3.7,5.9546,9,4,улица Сергея Лазо; улица Суворова; Первомайская улица; Коммунистическая улица,улица Ленина,,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,5.8779,0.0767,1.3,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 4,True,0.0
MY-009,Гиска: улица Ленина 296,улица Ленина 296,Гиска,46.78939,29.40243,2026-07-26,,улица Ленина,мили (yandex.com),5.9,9.4951,15,5.9,9.4951,15,2,улица Сергея Лазо; улица Суворова; Первомайская улица; Коммунистическая улица; улица Ленина,улица Ленина,,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,9.3699,0.1252,1.3,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 2,True,0.0
MY-010,Гиска: улица Ленина 313,улица Ленина 313,Гиска,46.78846,29.40535,2026-07-26,,улица Ленина,мили (yandex.com),5.8,9.3342,14,5.8,9.3342,14,2,улица Сергея Лазо; улица Суворова; Первомайская улица; Коммунистическая улица; улица Ленина,улица Ленина,,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,9.1248,0.2094,2.2,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 2,True,0.0
MY-012,Гиска: улица Ленина 59,улица Ленина 59,Гиска,46.78737,29.4486,2026-07-26,,улица Ленина,мили (yandex.com),3.4,5.4718,9,3.4,5.4718,9,3,улица Сергея Лазо; улица Суворова; Комсомольская улица; Коммунистическая улица,улица Ленина,,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,5.2532,0.2186,4.0,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 3,True,0.0
MY-013,Гиска: улица Мира 32,улица Мира 32,Гиска,46.79034,29.47627,2026-07-26,,"улица 40 лет МССР, 32",мили (yandex.com),2.57,4.136,7,2.57,4.136,7,3,улица Сергея Лазо; улица Суворова; улица 40 лет МССР; улица Мира,улица 40 лет МССР,32,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,4.0197,0.1163,2.8,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 3,True,0.0
MY-014,Гиска: улица Суворова 16а,улица Суворова 16а,Гиска,46.7923,29.47623,2026-07-26,,"улица 40 лет МССР, 16Б",мили (yandex.com),2.46,3.959,7,2.46,3.959,7,3,улица Сергея Лазо; улица Суворова; улица 40 лет МССР; улица Суворова,улица 40 лет МССР,16Б,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,3.8385,0.1205,3.0,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 3,True,0.0
MY-015,Гиска: улица Суворова 21,улица Суворова 21,Гиска,46.79263,29.4602,2026-07-26,,"улица Суворова, 21А",мили (yandex.com),3.4,5.4718,9,3.3,5.3108,9,4,улица Сергея Лазо; улица Суворова; Первомайская улица; Коммунистическая улица; улица Суворова,улица Суворова,21А,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,5.2621,0.2097,3.8,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 4,True,0.0
MY-016,Гиска: улица Суворова 6,улица Суворова 6,Гиска,46.79347,29.47629,2026-07-26,,"улица 40 лет МССР, 6",мили (yandex.com),2.35,3.782,7,2.35,3.782,7,1,улица Сергея Лазо; улица Суворова; улица 40 лет МССР,улица 40 лет МССР,6,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,3.6601,0.1219,3.2,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 1,True,0.0
MY-017,Гиска: улица Суворова 6,улица Суворова 6,Гиска,46.79258,29.47492,2026-07-26,,"улица Суворова, 6",мили (yandex.com),2.52,4.0555,7,2.52,4.0555,7,3,улица Сергея Лазо; улица Суворова; улица 40 лет МССР; улица Суворова,улица Суворова,6,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,3.9425,0.113,2.8,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 3,True,0.0
MY-019,Гиска: улица Суворова 87,улица Суворова 87,Гиска,46.79272,29.47697,2026-07-26,,"улица 40 лет МССР, 85",мили (yandex.com),3.1,4.989,9,3.1,4.989,9,4,улица Сергея Лазо; улица Суворова; улица 40 лет МССР; улица Мира; улица Кирова; улица 40 лет МССР,улица 40 лет МССР,85,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,3.7429,1.2461,25.0,ENGINE_DISAGREES_WITH_MANUAL_CONTROL,вариантов: 4,True,0.0
MY-020,Гиска: улица Суворова 89,улица Суворова 89,Гиска,46.79262,29.47698,2026-07-26,,"улица 40 лет МССР, 87",мили (yandex.com),3.1,4.989,9,3.1,4.989,9,4,улица Сергея Лазо; улица Суворова; улица 40 лет МССР; улица Мира; улица Кирова; улица 40 лет МССР,улица 40 лет МССР,87,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,3.754,1.235,24.8,ENGINE_DISAGREES_WITH_MANUAL_CONTROL,вариантов: 4,True,
MY-021,Парканы: Светлая улица 5,Светлая улица 5,Парканы,46.81967,29.5265,2026-07-26,,Светлая улица,мили (yandex.com),3.7,5.9546,10,3.7,5.9546,10,1,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; улица Ленина; Комсомольская улица; Светлая улица,Светлая улица,,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,5.541,0.4136,6.9,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 1,True,
MY-022,Парканы: улица Горького 1,улица Горького 1,Парканы,46.83546,29.52788,2026-07-26,,"Тираспольское шоссе, 38А",мили (yandex.com),2.9,4.6671,8,2.9,4.6671,8,1,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; улица Горького,Тираспольское шоссе,38А,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,4.5512,0.1159,2.5,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 1,True,
MY-024,Парканы: улица Ленина 3,улица Ленина 3,Парканы,46.83459,29.50999,2026-07-26,,"улица Ленина, 3",мили (yandex.com),2.05,3.2992,6,2.05,3.2992,6,2,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; улица Ленина,улица Ленина,3,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,3.1808,0.1184,3.6,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 2,True,
MY-025,Парканы: улица Ленина 5,улица Ленина 5,Парканы,46.83442,29.51002,2026-07-26,,"улица Ленина, 5",мили (yandex.com),2.06,3.3152,6,2.06,3.3152,6,2,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; улица Ленина,улица Ленина,5,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,3.1997,0.1155,3.5,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 2,True,
MY-026,Парканы: улица Маяковского 165,улица Маяковского 165,Парканы,46.82127,29.52726,2026-07-26,,"улица Ворошилова, 165",мили (yandex.com),3.6,5.7936,11,3.6,5.7936,11,1,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; улица Ворошилова; улица Маяковского,улица Ворошилова,165,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,5.5399,0.2537,4.4,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 1,True,
MY-027,Парканы: улица Петра Николаева 39,улица Петра Николаева 39,Парканы,46.84688,29.50622,2026-07-26,,"улица Петра Николаева, 37",мили (yandex.com),3.3,5.3108,10,3.3,5.3108,10,1,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; Р24; улица Гоголя; улица Мира; улица Петра Николаева,улица Петра Николаева,37,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,Р2 путепровод,нет,не определено,5.1822,0.1286,2.4,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 1,True,
MY-028,Парканы: улица Пушкина 72,улица Пушкина 72,Парканы,46.8288,29.51517,2026-07-26,,улица Пушкина,мили (yandex.com),2.58,4.1521,8,2.58,4.1521,8,1,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; улица Пушкина,улица Пушкина,,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,4.0393,0.1128,2.7,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 1,True,
MY-029,Парканы: улица Романенко 14,улица Романенко 14,Парканы,46.84806,29.51491,2026-07-26,,улица Романенко,мили (yandex.com),3.3,5.3108,9,3.3,5.3108,9,2,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; Р24; улица Гоголя; улица Мира; улица Чехова; улица Романенко,улица Романенко,,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,Р2 путепровод,нет,не определено,5.1822,0.1286,2.4,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 2,True,
MY-030,Парканы: улица Свердлова 100,улица Свердлова 100,Парканы,46.8609,29.50956,2026-07-26,,улица Свердлова,мили (yandex.com),4.8,7.7249,12,4.6,7.403,15,2,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; Р24; улица Гоголя; улица Мира; улица Свердлова,улица Свердлова,,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,Р2 путепровод,нет,не определено,7.5602,0.1647,2.1,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 2,True,
MY-031,Парканы: улица Свердлова 53,улица Свердлова 53,Парканы,46.86074,29.50932,2026-07-26,,улица Свердлова,мили (yandex.com),4.8,7.7249,12,4.6,7.403,15,2,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; Р24; улица Гоголя; улица Мира; улица Свердлова,улица Свердлова,,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,Р2 путепровод,нет,не определено,7.5746,0.1503,1.9,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 2,True,
MY-032,Парканы: улица Свердлова 98,улица Свердлова 98,Парканы,46.86077,29.50958,2026-07-26,,улица Свердлова,мили (yandex.com),4.8,7.7249,12,4.6,7.403,15,2,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; Р24; улица Гоголя; улица Мира; улица Свердлова,улица Свердлова,,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,Р2 путепровод,нет,не определено,7.5748,0.1501,1.9,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 2,True,
MY-033,Парканы: улица Сергея Лазо 5,улица Сергея Лазо 5,Парканы,46.83887,29.51625,2026-07-26,,"улица Сергея Лазо, 5",мили (yandex.com),2.58,4.1521,7,2.58,4.1521,7,2,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; Р24; улица Гоголя; улица Сергея Лазо,улица Сергея Лазо,5,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,Р2 путепровод,нет,не определено,4.0409,0.1112,2.7,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 2,True,
MY-034,Парканы: улица Чапаева 37,улица Чапаева 37,Парканы,46.84179,29.52393,2026-07-26,,улица Чапаева,мили (yandex.com),3.1,4.989,9,3.1,4.989,9,2,улица Сергея Лазо; улица Суворова; улица Ленина; улица Котовского; улица Карла Маркса; улица Чапаева,улица Чапаева,,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,не определено,5.1801,-0.1911,3.8,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 2,True,
MY-035,Протягайловка: Гербовецкая улица 84,Гербовецкая улица 84,Протягайловка,46.82566,29.44035,2026-07-26,,"Гербовецкая улица, 84",мили (yandex.com),4.3,6.9202,11,3.9,6.2764,11,3,улица Сергея Лазо; улица Суворова; Первомайская улица; Коммунистическая улица; улица Ечина; Протягайловская улица; Банный переулок; Гербовецкая улица,Гербовецкая улица,84,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,да,6.4655,0.4547,6.6,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 3,True,
MY-036,Протягайловка: Главная улица 24,Главная улица 24,Протягайловка,46.81594,29.45069,2026-07-26,YANDEX-MANUAL-BATCH-03,"Протягайловская улица, 24",мили (yandex.com),2.87,4.6188,8,2.8,4.5062,8,3,улица Сергея Лазо; улица Суворова; Первомайская улица; Коммунистическая улица; улица Ечина; Протягайловская улица; улица Бориса Главана,Протягайловская улица,24,,,,,,EMPTY,UNKNOWN,,UNKNOWN,UNKNOWN_REQUIRES_MAP_REVIEW,не показан,нет,да,4.4839,0.1349,2.9,ENGINE_MATCHES_MANUAL_CONTROL,вариантов: 3,True,
