address_id,territory,route_km,outside_city_km,base_city_fee,external_surcharge,final_fee,calculation_status,geographic_zone_analytics_only,taxi_reference,client_saving,driver_gap,passes_old_balanced
n2334331711,Бендеры,7.024,0.0,31,0,31,CITY_OK,4,42.14,11.14,6.14,False
n2334331712,Бендеры,6.976,0.0,30,0,30,CITY_OK,4,41.86,11.86,6.86,False
n2334331713,Бендеры,6.979,0.0,30,0,30,CITY_OK,4,41.87,11.87,6.87,False
n2334331716,Бендеры,6.882,0.0,30,0,30,CITY_OK,4,41.29,11.29,6.29,False
n2334331723,Бендеры,6.894,0.0,30,0,30,CITY_OK,4,41.36,11.36,6.36,False
n2334331724,Бендеры,4.434,0.0,20,0,20,CITY_OK,2,26.6,6.6,1.6,True
n2334334346,Бендеры,7.0,0.0,30,0,30,CITY_OK,3,42.0,12.0,7.0,False
n2334334349,Бендеры,6.928,0.0,30,0,30,CITY_OK,4,41.57,11.57,6.57,False
n2334338351,Бендеры,7.108,0.0,31,0,31,CITY_OK,4,42.65,11.65,6.65,False
n2334338352,Бендеры,7.027,0.0,31,0,31,CITY_OK,4,42.16,11.16,6.16,False
n2334338353,Бендеры,7.123,0.0,31,0,31,CITY_OK,4,42.74,11.74,6.74,False
n2337326463,Бендеры,4.495,0.0,20,0,20,CITY_OK,3,26.97,6.97,1.97,True
n2337326464,Бендеры,4.425,0.0,20,0,20,CITY_OK,2,26.55,6.55,1.55,True
n2337326466,Бендеры,4.232,0.0,19,0,19,CITY_OK,2,25.39,6.39,1.39,True
n2337855688,Бендеры,4.127,0.0,19,0,19,CITY_OK,2,24.76,5.76,0.76,True
n2337855692,Бендеры,4.15,0.0,19,0,19,CITY_OK,2,24.9,5.9,0.9,True
n2337855693,Бендеры,4.195,0.0,19,0,19,CITY_OK,2,25.17,6.17,1.17,True
n2337863649,Протягайловка,6.266,,28,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337865679,Бендеры,6.195,0.0,27,0,27,CITY_OK,4,37.17,10.17,5.17,False
n2337880821,Бендеры,6.03,0.0,27,0,27,CITY_OK,4,36.18,9.18,4.18,False
n2337889954,Бендеры,5.928,0.0,26,0,26,CITY_OK,4,35.57,9.57,4.57,False
n2337889957,Бендеры,5.879,0.0,26,0,26,CITY_OK,4,35.27,9.27,4.27,False
n2337889960,Бендеры,6.104,0.0,27,0,27,CITY_OK,4,36.62,9.62,4.62,False
n2337889966,Бендеры,5.995,0.0,26,0,26,CITY_OK,4,35.97,9.97,4.97,False
n2337900323,Протягайловка,8.049,,35,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337900327,Протягайловка,8.052,,35,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337904420,Протягайловка,8.134,,35,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337904421,Протягайловка,8.13,,35,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337904422,Протягайловка,8.55,,37,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337904423,Протягайловка,8.56,,37,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337904427,Протягайловка,8.014,,35,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337904428,Протягайловка,8.018,,35,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337908044,Протягайловка,8.459,,36,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337908045,Протягайловка,8.43,,36,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337908046,Протягайловка,8.371,,36,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337908047,Протягайловка,8.591,,37,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337908048,Протягайловка,9.033,,39,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337908049,Протягайловка,7.658,,33,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337912607,Протягайловка,7.811,,34,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337912608,Протягайловка,7.185,,31,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337912609,Протягайловка,7.189,,31,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337912610,Протягайловка,7.163,,31,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337912620,Протягайловка,6.747,,29,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337912625,Протягайловка,6.397,,28,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337929291,Протягайловка,8.886,,38,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337929292,Протягайловка,8.614,,37,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337929293,Протягайловка,8.705,,37,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337929294,Протягайловка,8.539,,37,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337929295,Протягайловка,8.461,,36,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337929297,Протягайловка,8.412,,36,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337929298,Протягайловка,8.405,,36,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337929299,Протягайловка,7.999,,34,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337929300,Протягайловка,7.966,,34,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337929301,Протягайловка,7.965,,34,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337929302,Протягайловка,7.846,,34,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337929303,Протягайловка,7.812,,34,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337929304,Протягайловка,7.537,,33,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337929305,Протягайловка,7.516,,33,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337934498,Протягайловка,7.852,,34,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337934499,Протягайловка,7.71,,33,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337934500,Протягайловка,7.714,,33,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337934501,Протягайловка,7.705,,33,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337934502,Протягайловка,7.897,,34,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337934503,Протягайловка,7.754,,34,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337934504,Протягайловка,7.76,,34,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337934505,Протягайловка,7.663,,33,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337934506,Протягайловка,7.649,,33,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337934507,Протягайловка,7.487,,32,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337934508,Протягайловка,7.188,,31,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337934509,Протягайловка,7.367,,32,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337934510,Протягайловка,7.323,,32,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337934511,Протягайловка,7.163,,31,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337938412,Протягайловка,7.144,,31,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337938413,Протягайловка,7.155,,31,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337938418,Протягайловка,7.084,,31,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337938419,Протягайловка,7.024,,31,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337938422,Протягайловка,6.871,,30,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337938423,Протягайловка,6.824,,30,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337938424,Протягайловка,6.848,,30,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337948153,Протягайловка,7.249,,31,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337948154,Протягайловка,7.292,,32,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337948155,Протягайловка,7.26,,32,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337948156,Протягайловка,7.316,,32,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337948157,Протягайловка,7.313,,32,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337948158,Протягайловка,7.499,,32,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337948159,Протягайловка,7.026,,31,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337948160,Протягайловка,6.85,,30,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337948161,Протягайловка,6.764,,30,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337948163,Протягайловка,6.684,,29,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337948164,Протягайловка,6.648,,29,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337948165,Протягайловка,6.674,,29,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337951349,Протягайловка,6.522,,29,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337951352,Протягайловка,6.551,,29,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337964959,Протягайловка,5.861,,26,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337964962,Протягайловка,4.85,,22,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2337964963,Протягайловка,4.836,,22,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2337964964,Протягайловка,5.865,,26,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337964965,Протягайловка,5.891,,26,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337964966,Протягайловка,6.016,,27,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337964967,Протягайловка,6.021,,27,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337964968,Протягайловка,6.001,,27,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337964969,Протягайловка,5.932,,26,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337985506,Протягайловка,5.794,,26,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337985508,Протягайловка,5.818,,26,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2337985509,Бендеры,5.655,0.0,25,0,25,CITY_OK,3,33.93,8.93,3.93,False
n2337985514,Протягайловка,5.116,,23,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2337985515,Протягайловка,5.096,,23,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2337985516,Протягайловка,4.968,,22,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2337985517,Протягайловка,4.947,,22,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2337985520,Протягайловка,4.849,,22,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2337985521,Протягайловка,4.848,,22,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2337985527,Протягайловка,4.895,,22,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2337985528,Протягайловка,4.555,,21,,,OUTSIDE_DISTANCE_UNAVAILABLE,3,,,,
n2337985537,Бендеры,4.42,0.0,20,0,20,CITY_OK,3,26.52,6.52,1.52,True
n2337992799,Бендеры,4.451,0.0,20,0,20,CITY_OK,3,26.71,6.71,1.71,True
n2337992800,Бендеры,4.289,0.0,20,0,20,CITY_OK,3,25.73,5.73,0.73,True
n2339105464,Бендеры,5.139,0.0,23,0,23,CITY_OK,3,30.83,7.83,2.83,False
n2339237483,Бендеры,4.601,0.0,21,0,21,CITY_OK,3,27.61,6.61,1.61,True
n2339271515,Бендеры,3.732,0.0,17,0,17,CITY_OK,2,22.39,5.39,0.39,True
n2339316692,Бендеры,7.059,0.0,31,0,31,CITY_OK,4,42.35,11.35,6.35,False
n2340126065,Бендеры,1.787,0.0,14,0,14,CITY_OK,1,18.0,4.0,-1.0,False
n2340126066,Бендеры,1.782,0.0,14,0,14,CITY_OK,1,18.0,4.0,-1.0,False
n2340501491,Бендеры,1.847,0.0,14,0,14,CITY_OK,1,18.0,4.0,-1.0,False
n2341956428,Гиска,5.84,,26,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2341956433,Гиска,5.952,,26,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2341956435,Гиска,5.949,,26,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2341956439,Гиска,6.033,,27,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2341956445,Гиска,6.032,,27,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2341956451,Гиска,6.059,,27,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2341956455,Гиска,6.112,,27,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2341956458,Гиска,6.188,,27,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2341956460,Гиска,6.158,,27,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2341956467,Гиска,6.46,,28,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2341956507,Гиска,6.6,,29,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2341956526,Гиска,6.392,,28,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2341956531,Гиска,6.536,,29,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2341956537,Гиска,6.328,,28,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2341956543,Гиска,6.285,,28,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2341956546,Гиска,6.248,,27,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2341956557,Гиска,6.644,,29,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2341956562,Гиска,6.645,,29,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2341956566,Гиска,6.523,,29,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2341956576,Гиска,6.618,,29,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2341956594,Гиска,6.669,,29,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2341956599,Гиска,6.647,,29,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2341956604,Гиска,6.54,,29,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
n2341956609,Гиска,6.424,,28,,,OUTSIDE_DISTANCE_UNAVAILABLE,4,,,,
