recheck_id,original_sample_id,address_id,territory,street,our_house_number,our_lat,our_lon,original_status,original_yandex_label,original_yandex_house_number,second_checked_date,second_search_query,second_yandex_label,second_yandex_street,second_yandex_house_number,second_coordinate_distance_m,coordinate_click_label,visible_neighbor_numbers,requested_number_visible_anywhere,nearest_result_only,independent_confirmation,resolved_conflict_type,resolution_confidence,owner_review_required,evidence_summary,notes
YCR-0011,YAV-0053,n2321994003,Бендеры,улица Тургенева,1,46.82034,29.46409,DIFFERENT_HOUSE_NUMBER,"улица Тургенева, 9, Бендеры, Приднестровье",9,2026-07-27,"Бендеры, улица Тургенева 1, Бендеры || улица Тургенева 1, Бендеры","улица Тургенева, 9, Бендеры, Приднестровье",улица Тургенева,9,136,"улица Григория Старого, 5, Бендеры, Приднестровье",,false,true,true,CANONICAL_COORDINATE_ANCHOR_ERROR_SUSPECTED,HIGH,true,"Both address queries substituted Тургенева 9, while the exact canonical coordinate resolved to Григория Старого 5.",
YCR-0012,YAV-0055,n2322107937,Бендеры,Киевская улица,43,46.81817,29.46011,DIFFERENT_HOUSE_NUMBER,"Киевская улица, 35, Бендеры, Приднестровье",35,2026-07-27,"Бендеры, Киевская улица 43, Бендеры || Киевская улица 43, Бендеры","Киевская улица, 35, Бендеры, Приднестровье",Киевская улица,35,197,"микрорайон Хомутяновка, Бендеры, Приднестровье",,false,true,true,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,"Both address queries substituted house 35; the coordinate review returned only the neighborhood, not requested house 43.",
YCR-0013,YAV-0097,n2323366443,Бендеры,улица Кавриаго,1,46.81954,29.47307,DIFFERENT_HOUSE_NUMBER,"улица Кавриаго, 1А, Бендеры, Приднестровье",1А,2026-07-27,"Бендеры, улица Кавриаго 1, Бендеры || улица Кавриаго 1, Бендеры","улица Кавриаго, 1А, Бендеры, Приднестровье",улица Кавриаго,1А,164,"квартал Центр, Бендеры, Приднестровье",,false,true,true,LETTER_SUFFIX_DIFFERENCE,HIGH,true,Both queries consistently returned 1A instead of 1; coordinate review did not expose an addressed house 1.,
YCR-0014,YAV-0139,n2323793911,Бендеры,улица Няги,77,46.81041,29.48637,AMBIGUOUS_REQUIRES_REVIEW,"улица Степана Няги, Бендеры, Приднестровье",,2026-07-27,"Бендеры, улица Няги 77, Бендеры || улица Няги 77, Бендеры","улица Степана Няги, Бендеры, Приднестровье",улица Степана Няги,,0,"улица Степана Няги, 6, Бендеры, Приднестровье",,false,false,true,CANONICAL_COORDINATE_ANCHOR_ERROR_SUSPECTED,HIGH,true,"Both searches returned only the normalized street; the exact canonical coordinate is labeled Степана Няги 6, not requested 77.",
YCR-0015,YAV-0157,n2325958287,Бендеры,Каховская улица,216,46.84678,29.45468,AMBIGUOUS_REQUIRES_REVIEW,"Каховская улица, Бендеры, Приднестровье",,2026-07-27,"Бендеры, Каховская улица 216, Бендеры || Каховская улица 216, Бендеры","Каховская улица, Бендеры, Приднестровье",Каховская улица,,0,"Кишинёвская улица, 216, Бендеры, Приднестровье",,false,false,true,CANONICAL_COORDINATE_ANCHOR_ERROR_SUSPECTED,HIGH,true,Two searches returned only the Kakhovskaya street card; the canonical coordinate is visibly labeled Kishinevskaya 216. No canonical edit was made.,
YCR-0016,YAV-0158,n2328051587,Гиска,улица Кирова,31а,46.78836,29.47293,SETTLEMENT_ONLY,"село Гиска, Бендеры, Приднестровье",,2026-07-27,"Гиска, улица Кирова 31а, Бендеры || улица Кирова 31а, Гиска","улица Кирова, 31А, Бендеры, Приднестровье",улица Кирова,31А,9,"улица Кирова, 31А, Бендеры, Приднестровье",,true,false,true,SETTLEMENT_LABEL_DIFFERENCE,HIGH,true,The full query and exact coordinate both expose house 31A; Yandex labels it Bender rather than canonical territory Giska.,
YCR-0017,YAV-0161,n2334239345,Бендеры,Киевская улица,140,46.81827,29.4596,AMBIGUOUS_REQUIRES_REVIEW,"Киевская улица, Бендеры, Приднестровье",,2026-07-27,"Бендеры, Киевская улица 140, Бендеры || Киевская улица 140, Бендеры","Киевская улица, Бендеры, Приднестровье",Киевская улица,,0,"улица Бендерского Восстания, Бендеры, Приднестровье",,false,false,true,CANONICAL_COORDINATE_ANCHOR_ERROR_SUSPECTED,HIGH,true,Both searches exposed only Kievskaya street; the canonical coordinate lies on a Yandex street card for Benderskogo Vosstaniya.,
YCR-0018,YAV-0177,n2337863649,Протягайловка,улица 50 лет Победы,16,46.82855,29.44696,SETTLEMENT_ONLY,"село Протягайловка, Бендеры, Приднестровье",,2026-07-27,"Протягайловка, улица 50 лет Победы 16, Бендеры || улица 50 лет Победы 16, Протягайловка","улица 50 лет Победы, 18, Бендеры, Приднестровье",улица 50 лет Победы,18,45,"улица 50 лет Победы, Бендеры, Приднестровье",,false,true,false,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,"Full query substituted nearby house 18; the territory-short query opened only Protyagailovka and the exact coordinate exposed only the street, not house 16.",
YCR-0019,YAV-0182,n2337889966,Бендеры,улица Кошевого,42,46.82637,29.44907,AMBIGUOUS_REQUIRES_REVIEW,"улица Кошевого, Бендеры, Приднестровье",,2026-07-27,"Бендеры, улица Кошевого 42, Бендеры || улица Кошевого 42, Бендеры","улица Кошевого, Бендеры, Приднестровье",улица Кошевого,,0,"Санаторная улица, 42, Бендеры, Приднестровье",,false,false,true,CANONICAL_COORDINATE_ANCHOR_ERROR_SUSPECTED,HIGH,true,Both searches exposed only Koshevogo street; the exact canonical coordinate is labeled Sanatornaya 42.,
YCR-0020,YAV-0666,n3255557548,Бендеры,улица Гагарина,26,46.82529,29.48446,DIFFERENT_HOUSE_NUMBER,"улица Гагарина, 28, Бендеры, Приднестровье",28,2026-07-27,"Бендеры, улица Гагарина 26, Бендеры || улица Гагарина 26, Бендеры","улица Гагарина, 28, Бендеры, Приднестровье",улица Гагарина,28,334,"улица Суворова, 26А, Бендеры, Приднестровье",,false,true,true,CANONICAL_COORDINATE_ANCHOR_ERROR_SUSPECTED,HIGH,true,"Both searches substituted Gagarina 28, while the canonical coordinate is visibly labeled Suvorova 26A.",
YCR-0021,YAV-0667,n3464331849,Парканы,улица Карла Маркса,25a,46.83566,29.52206,DIFFERENT_HOUSE_NUMBER,"улица Карла Маркса, 24, село Парканы, Слободзейский район, Приднестровье",24,2026-07-27,"Парканы, улица Карла Маркса 25a, Бендеры || улица Карла Маркса 25a, Парканы","улица Карла Маркса, 24, село Парканы, Слободзейский район, Приднестровье",улица Карла Маркса,24,251,"Тираспольское шоссе, 25А, село Парканы, Слободзейский район, Приднестровье",,false,true,true,CANONICAL_COORDINATE_ANCHOR_ERROR_SUSPECTED,HIGH,true,Both searches substituted Karl Marx 24; the exact canonical coordinate is labeled Tiraspol highway 25A.,
YCR-0022,YAV-0668,n3585409145,Бендеры,площадь Освобождения,17,46.82371,29.48204,AMBIGUOUS_REQUIRES_REVIEW,"площадь Освобождения, Бендеры, Приднестровье",,2026-07-27,"Бендеры, площадь Освобождения 17, Бендеры || площадь Освобождения 17, Бендеры","площадь Освобождения, Бендеры, Приднестровье",площадь Освобождения,,0,"Советская улица, 31, Бендеры, Приднестровье",,false,false,true,CANONICAL_COORDINATE_ANCHOR_ERROR_SUSPECTED,HIGH,true,"Both searches exposed only Liberation Square; the exact canonical coordinate is labeled Sovietskaya 31, linking this conflict to YOX-0001 without editing canonical data.",
YCR-0023,YAV-0671,n4162783497,Бендеры,улица Добродеева,122,46.82221,29.4611,AMBIGUOUS_REQUIRES_REVIEW,"улица Добродеева, Бендеры, Приднестровье",,2026-07-27,"Бендеры, улица Добродеева 122, Бендеры || улица Добродеева 122, Бендеры","улица Добродеева, Бендеры, Приднестровье",улица Добродеева,,0,"улица Бендерского Восстания, 122, Бендеры, Приднестровье",,false,false,true,CANONICAL_COORDINATE_ANCHOR_ERROR_SUSPECTED,HIGH,true,Both searches returned only Dobrodeeva street; the exact canonical coordinate is labeled Benderskogo Vosstaniya 122.,
YCR-0024,YAV-0674,n4196580392,Бендеры,улица Сергея Лазо,55/2,46.8234,29.48444,AMBIGUOUS_REQUIRES_REVIEW,"улица Сергея Лазо, Бендеры, Приднестровье",,2026-07-27,"Бендеры, улица Сергея Лазо 55/2, Бендеры || улица Сергея Лазо 55/2, Бендеры","улица Сергея Лазо, Бендеры, Приднестровье",улица Сергея Лазо,,0,"улица Суворова, 55/2, Бендеры, Приднестровье",,false,false,true,CANONICAL_COORDINATE_ANCHOR_ERROR_SUSPECTED,HIGH,true,"The full query jumped to Parkany house 45, the alternate opened only Bender street, and the canonical coordinate is labeled Suvorova 55/2.",
YCR-0025,YAV-0675,n4196596589,Бендеры,улица Сергея Лазо,55,46.82375,29.48421,AMBIGUOUS_REQUIRES_REVIEW,"улица Сергея Лазо, Бендеры, Приднестровье",,2026-07-27,"Бендеры, улица Сергея Лазо 55, Бендеры || улица Сергея Лазо 55, Бендеры","улица Сергея Лазо, Бендеры, Приднестровье",улица Сергея Лазо,,0,"улица Суворова, 55, Бендеры, Приднестровье",,false,false,true,CANONICAL_COORDINATE_ANCHOR_ERROR_SUSPECTED,HIGH,true,"Full query jumped to Parkany house 45, alternate returned only Bender street, and the exact coordinate is labeled Suvorova 55.",
YCR-0026,YAV-0676,n4243884391,Бендеры,улица Титова,3/3,46.84304,29.4723,DIFFERENT_HOUSE_NUMBER,"улица Титова, 3, Бендеры, Приднестровье",3,2026-07-27,"Бендеры, улица Титова 3/3, Бендеры || улица Титова 3/3, Бендеры","улица Титова, 3, Бендеры, Приднестровье",улица Титова,3,692,"улица Ермакова, 3, Бендеры, Приднестровье",,false,true,true,CANONICAL_COORDINATE_ANCHOR_ERROR_SUSPECTED,HIGH,true,Both searches returned Titova 3 far from the source point; the exact canonical coordinate is labeled Ermakova 3.,
YCR-0027,YAV-0677,n4243940691,Бендеры,Советская улица,5А,46.82794,29.4847,DIFFERENT_HOUSE_NUMBER,"Советская улица, 5, Бендеры, Приднестровье",5,2026-07-27,"Бендеры, Советская улица 5А, Бендеры || Советская улица 5А, Бендеры","Советская улица, 5, Бендеры, Приднестровье",Советская улица,5,19,"Советская улица, 5, Бендеры, Приднестровье",,false,false,true,LETTER_SUFFIX_DIFFERENCE,HIGH,true,"Both searches and the exact canonical coordinate consistently label the object Sovietskaya 5, not 5A.",
YCR-0028,YAV-0678,n4243991698,Бендеры,улица Сергея Лазо,26в,46.82485,29.4844,DIFFERENT_HOUSE_NUMBER,"улица Сергея Лазо, 30, Бендеры, Приднестровье",30,2026-07-27,"Бендеры, улица Сергея Лазо 26в, Бендеры || улица Сергея Лазо 26в, Бендеры","улица Сергея Лазо, 30, Бендеры, Приднестровье",улица Сергея Лазо,30,386,"улица Суворова, 26Б, Бендеры, Приднестровье",,false,true,true,CANONICAL_COORDINATE_ANCHOR_ERROR_SUSPECTED,HIGH,true,"Both searches substituted Sergeya Lazo 30, while the exact canonical coordinate is labeled Suvorova 26B.",
YCR-0029,YAV-0680,n4271457905,Бендеры,Советская улица,29,46.82517,29.48303,DIFFERENT_HOUSE_NUMBER,"Советская улица, 31, Бендеры, Приднестровье",31,2026-07-27,"Бендеры, Советская улица 29, Бендеры || Советская улица 29, Бендеры","Советская улица, 31, Бендеры, Приднестровье",Советская улица,31,157,"Советская улица, 27, Бендеры, Приднестровье",27;31,false,true,true,CANONICAL_ADDRESS_NOT_VISIBLE_IN_YANDEX,HIGH,true,"Both searches opened 31, while the canonical coordinate is labeled 27; requested 29 was not visible between the observed neighboring odd numbers.",
YCR-0030,YAV-0689,n4397874158,Бендеры,улица Добродеева,79а,46.8226,29.46039,AMBIGUOUS_REQUIRES_REVIEW,"улица Добродеева, Бендеры, Приднестровье",,2026-07-27,"Бендеры, улица Добродеева 79а, Бендеры || улица Добродеева 79а, Бендеры","улица Добродеева, Бендеры, Приднестровье",улица Добродеева,,0,"улица Ползунова, 79, Бендеры, Приднестровье",,false,false,true,CANONICAL_COORDINATE_ANCHOR_ERROR_SUSPECTED,HIGH,true,Both searches exposed only Dobrodeeva street; the exact canonical coordinate is labeled Polzunova 79.,
YCR-0031,YAV-0692,n4466336290,Парканы,улица Горького,75,46.82984,29.52938,AMBIGUOUS_REQUIRES_REVIEW,"улица Горького, село Парканы, Слободзейский район, Приднестровье",,2026-07-27,"Парканы, улица Горького 75, Бендеры || улица Горького 75, Парканы","улица Горького, село Парканы, Слободзейский район, Приднестровье",улица Горького,,0,"улица Горького, село Парканы, Слободзейский район, Приднестровье",,false,false,true,CANONICAL_ADDRESS_NOT_VISIBLE_IN_YANDEX,MEDIUM,true,Two independent searches and the exact coordinate exposed only the street; house 75 was not visible.,
YCR-0032,YAV-0696,n4552709338,Протягайловка,Первомайская улица,77,46.83175,29.43997,DIFFERENT_HOUSE_NUMBER,"Первомайская улица, 85, село Протягайловка, Бендеры, Приднестровье",85,2026-07-27,"Протягайловка, Первомайская улица 77, Бендеры || Первомайская улица 77, Протягайловка","Первомайская улица, 85, село Протягайловка, Бендеры, Приднестровье",Первомайская улица,85,58,"Первомайская улица, село Протягайловка, Бендеры, Приднестровье",,false,true,true,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,Both searches substituted house 85; coordinate review exposed only the street and did not confirm 77.,
YCR-0033,YAV-0701,n4813753096,Протягайловка,улица Штефан чел Маре,22,46.82165,29.4394,SETTLEMENT_ONLY,"село Протягайловка, Бендеры, Приднестровье",,2026-07-27,"Протягайловка, улица Штефан чел Маре 22, Бендеры || улица Штефан чел Маре 22, Протягайловка","село Протягайловка, Бендеры, Приднестровье",,,0,"улица Штефана чел Маре, Бендеры, Приднестровье",,false,false,false,CANONICAL_ADDRESS_NOT_VISIBLE_IN_YANDEX,MEDIUM,true,Full query opened only Protyagailovka; alternate resolved house 22 far outside the territory; coordinate review showed only normalized street name and no house.,
YCR-0034,YAV-0702,n4816665218,Парканы,Молодёжная улица,71,46.85242,29.5234,DIFFERENT_HOUSE_NUMBER,"Молодёжная улица, 70, село Парканы, Слободзейский район, Приднестровье",70,2026-07-27,"Парканы, Молодёжная улица 71, Бендеры || Молодёжная улица 71, Парканы","Молодёжная улица, 70, село Парканы, Слободзейский район, Приднестровье",Молодёжная улица,70,46,"Молодёжная улица, село Парканы, Слободзейский район, Приднестровье",,false,true,true,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,Both queries substituted adjacent house 70; the coordinate review showed only the street and did not establish an even/odd renumbering rule.,
YCR-0035,YAV-0704,n4818943343,Парканы,улица Петра Николаева,137 А,46.85442,29.50268,AMBIGUOUS_REQUIRES_REVIEW,"улица Петра Николаева, село Парканы, Слободзейский район, Приднестровье",,2026-07-27,"Парканы, улица Петра Николаева 137 А, Бендеры || улица Петра Николаева 137 А, Парканы","улица Петра Николаева, село Парканы, Слободзейский район, Приднестровье",улица Петра Николаева,,0,"улица Петра Николаева, село Парканы, Слободзейский район, Приднестровье",,false,false,true,CANONICAL_ADDRESS_NOT_VISIBLE_IN_YANDEX,MEDIUM,true,Two address variants and coordinate review exposed only the street; house 137A was not visible.,
YCR-0036,YAV-0711,n4853320322,Бендеры,Пограничный переулок,22,46.84331,29.48414,DIFFERENT_HOUSE_NUMBER,"Пограничный переулок, 17, Бендеры, Приднестровье",17,2026-07-27,"Бендеры, Пограничный переулок 22, Бендеры || Пограничный переулок 22, Бендеры","Пограничный переулок, 17, Бендеры, Приднестровье",Пограничный переулок,17,53,"микрорайон Липканы, Бендеры, Приднестровье",,false,true,true,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,"Both searches substituted house 17; coordinate review returned only the neighborhood, not requested house 22.",
YCR-0037,YAV-0712,n4886201534,Протягайловка,улица Николая Белана,7,46.84099,29.43926,DIFFERENT_HOUSE_NUMBER,"улица Николая Белана, 9, Бендеры, Приднестровье",9,2026-07-27,"Протягайловка, улица Николая Белана 7, Бендеры || улица Николая Белана 7, Протягайловка","улица Николая Белана, 9, Бендеры, Приднестровье",улица Николая Белана,9,119,"улица Николая Белана, Бендеры, Приднестровье",,false,true,false,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,"Full query substituted house 9, the territory-short query opened only Protyagailovka, and coordinate review did not expose house 7.",
YCR-0038,YAV-0713,n4886201637,Бендеры,Кишинёвская улица,78,46.83651,29.46737,DIFFERENT_HOUSE_NUMBER,"Кишинёвская улица, 76, Бендеры, Приднестровье",76,2026-07-27,"Бендеры, Кишинёвская улица 78, Бендеры || Кишинёвская улица 78, Бендеры","Кишинёвская улица, 76, Бендеры, Приднестровье",Кишинёвская улица,76,21,"микрорайон Борисовка, Бендеры, Приднестровье",,false,true,true,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,Both searches substituted nearby house 76; coordinate review returned only Borisovka and did not confirm house 78. Kishinevskaya data was not modified.,
YCR-0039,YAV-0714,n4905409919,Гиска,улица Ленина,273 А,46.78569,29.41262,DIFFERENT_HOUSE_NUMBER,"улица Ленина, 277, село Гиска, Бендеры, Приднестровье",277,2026-07-27,"Гиска, улица Ленина 273 А, Бендеры || улица Ленина 273 А, Гиска","улица Ленина, 277, село Гиска, Бендеры, Приднестровье",улица Ленина,277,89,"село Гиска, Бендеры, Приднестровье",,false,true,true,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,Both searches substituted house 277; coordinate review returned only Giska and did not confirm lettered house 273A.,
YCR-0040,YAV-0715,n4905410755,Гиска,улица Ленина,190 А,46.78227,29.42344,DIFFERENT_HOUSE_NUMBER,"улица Ленина, 188, село Гиска, Бендеры, Приднестровье",188,2026-07-27,"Гиска, улица Ленина 190 А, Бендеры || улица Ленина 190 А, Гиска","улица Ленина, 188, село Гиска, Бендеры, Приднестровье",улица Ленина,188,45,"улица Ленина, село Гиска, Бендеры, Приднестровье",,false,true,true,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,Both searches substituted house 188; coordinate review exposed only the street and did not confirm 190A.,
YCR-0041,YAV-0716,n4905410762,Гиска,улица Ленина,180 А,46.78165,29.42556,DIFFERENT_HOUSE_NUMBER,"улица Ленина, 188, село Гиска, Бендеры, Приднестровье",188,2026-07-27,"Гиска, улица Ленина 180 А, Бендеры || улица Ленина 180 А, Гиска","улица Ленина, 188, село Гиска, Бендеры, Приднестровье",улица Ленина,188,131,"улица Ленина, село Гиска, Бендеры, Приднестровье",,false,true,true,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,"Both searches substituted house 188; coordinate review showed only the street, so house 180A remains unconfirmed.",
YCR-0042,YAV-0718,n4905410976,Гиска,улица Ленина,279,46.78619,29.41158,DIFFERENT_HOUSE_NUMBER,"улица Ленина, 277, село Гиска, Бендеры, Приднестровье",277,2026-07-27,"Гиска, улица Ленина 279, Бендеры || улица Ленина 279, Гиска","улица Ленина, 277, село Гиска, Бендеры, Приднестровье",улица Ленина,277,181,"улица Ленина, село Гиска, Бендеры, Приднестровье",,false,true,true,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,Both searches substituted house 277; coordinate review exposed only the street and did not confirm 279.,
YCR-0043,YAV-0720,n4905410988,Гиска,улица Ленина,275,46.78592,29.41215,DIFFERENT_HOUSE_NUMBER,"улица Ленина, 277, село Гиска, Бендеры, Приднестровье",277,2026-07-27,"Гиска, улица Ленина 275, Бендеры || улица Ленина 275, Гиска","улица Ленина, 277, село Гиска, Бендеры, Приднестровье",улица Ленина,277,130,"улица Ленина, село Гиска, Бендеры, Приднестровье",,false,true,true,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,Both searches substituted house 277; coordinate review did not expose house 275.,
YCR-0044,YAV-0721,n4905411113,Гиска,улица Ленина,297,46.78755,29.40802,AMBIGUOUS_REQUIRES_REVIEW,"улица Ленина, село Гиска, Бендеры, Приднестровье",,2026-07-27,"Гиска, улица Ленина 297, Бендеры || улица Ленина 297, Гиска","улица Ленина, село Гиска, Бендеры, Приднестровье",улица Ленина,,0,"улица Ленина, село Гиска, Бендеры, Приднестровье",,false,false,true,CANONICAL_ADDRESS_NOT_VISIBLE_IN_YANDEX,MEDIUM,true,Two searches and coordinate review exposed only the street; house 297 was not visible.,
YCR-0045,YAV-0722,n4905411115,Гиска,улица Ленина,295,46.78747,29.4083,AMBIGUOUS_REQUIRES_REVIEW,"улица Ленина, село Гиска, Бендеры, Приднестровье",,2026-07-27,"Гиска, улица Ленина 295, Бендеры || улица Ленина 295, Гиска","улица Ленина, село Гиска, Бендеры, Приднестровье",улица Ленина,,0,"улица Ленина, село Гиска, Бендеры, Приднестровье",,false,false,true,CANONICAL_ADDRESS_NOT_VISIBLE_IN_YANDEX,MEDIUM,true,Two independent address queries and coordinate review exposed only the street; house 295 was not visible.,
YCR-0046,YAV-0723,n4905411196,Гиска,улица Ленина,260,46.78716,29.41048,DIFFERENT_HOUSE_NUMBER,"улица Ленина, 253Б, село Гиска, Бендеры, Приднестровье",253Б,2026-07-27,"Гиска, улица Ленина 260, Бендеры || улица Ленина 260, Гиска","улица Ленина, 253Б, село Гиска, Бендеры, Приднестровье",улица Ленина,253Б,538,"село Гиска, Бендеры, Приднестровье",,false,true,true,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,"Both searches substituted distant house 253B; coordinate review returned only Giska, so requested 260 was not confirmed.",
YCR-0047,YAV-0724,n4905411200,Гиска,улица Ленина,254 А,46.78671,29.41134,DIFFERENT_HOUSE_NUMBER,"улица Ленина, 253Б, село Гиска, Бендеры, Приднестровье",253Б,2026-07-27,"Гиска, улица Ленина 254 А, Бендеры || улица Ленина 254 А, Гиска","улица Ленина, 253Б, село Гиска, Бендеры, Приднестровье",улица Ленина,253Б,456,"улица Ленина, село Гиска, Бендеры, Приднестровье",,false,true,true,YANDEX_NEAREST_RESULT_ONLY,HIGH,true,Both searches substituted house 253B; coordinate review exposed only the street and did not confirm 254A.,
